"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"f:\Projects\React\broker-crm-admin-ts\src\pages\report-page\report-page.component.tsx", "TypeScript JSX", 0, 392, 0, 0, 0, 0, 0, 0, 0, 29, 421
"f:\Projects\React\broker-crm-admin-ts\src\pages\report-page\report-page.style.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"f:\Projects\React\broker-crm-admin-ts\src\pages\revenue-page\revenue-page.component.tsx", "TypeScript JSX", 0, 275, 0, 0, 0, 0, 0, 0, 0, 22, 297
"f:\Projects\React\broker-crm-admin-ts\src\pages\revenue-page\revenue-page.style.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"f:\Projects\React\broker-crm-admin-ts\src\pages\statistics-page\statistics-page.component.tsx", "TypeScript JSX", 0, 1321, 0, 0, 0, 0, 0, 0, 0, 87, 1408
"f:\Projects\React\broker-crm-admin-ts\src\pages\statistics-page\statistics-page.style.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"f:\Projects\React\broker-crm-admin-ts\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\Projects\React\broker-crm-admin-ts\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"f:\Projects\React\broker-crm-admin-ts\src\routes\routes.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 6, 59
"f:\Projects\React\broker-crm-admin-ts\src\services\auth.service.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 10, 49
"f:\Projects\React\broker-crm-admin-ts\src\services\clients.service.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"f:\Projects\React\broker-crm-admin-ts\src\services\command.service.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 12, 93
"f:\Projects\React\broker-crm-admin-ts\src\services\comment.service.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 12, 117
"f:\Projects\React\broker-crm-admin-ts\src\services\expense.service.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 17, 151
"f:\Projects\React\broker-crm-admin-ts\src\services\goal.service.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 7, 58
"f:\Projects\React\broker-crm-admin-ts\src\services\motivation.service.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 13, 118
"f:\Projects\React\broker-crm-admin-ts\src\services\product.service.ts", "TypeScript", 0, 0, 209, 0, 0, 0, 0, 0, 0, 22, 231
"f:\Projects\React\broker-crm-admin-ts\src\services\report.service.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"f:\Projects\React\broker-crm-admin-ts\src\services\revenue.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"f:\Projects\React\broker-crm-admin-ts\src\services\speciality.service.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 14, 119
"f:\Projects\React\broker-crm-admin-ts\src\services\statics.service.ts", "TypeScript", 0, 0, 291, 0, 0, 0, 0, 0, 0, 97, 388
"f:\Projects\React\broker-crm-admin-ts\src\services\supplier.service.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 13, 129
"f:\Projects\React\broker-crm-admin-ts\src\services\task.service.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 10, 43
"f:\Projects\React\broker-crm-admin-ts\src\services\user-tracking.service.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"f:\Projects\React\broker-crm-admin-ts\src\services\user.service.ts", "TypeScript", 0, 0, 213, 0, 0, 0, 0, 0, 0, 37, 250
"f:\Projects\React\broker-crm-admin-ts\src\services\visit-task.service.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 1, 11, 65
"f:\Projects\React\broker-crm-admin-ts\src\services\visit.service.ts", "TypeScript", 0, 0, 157, 0, 0, 0, 0, 0, 0, 26, 183
"f:\Projects\React\broker-crm-admin-ts\src\services\wilaya.serivce.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 10, 74
"f:\Projects\React\broker-crm-admin-ts\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"f:\Projects\React\broker-crm-admin-ts\src\theme.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"f:\Projects\React\broker-crm-admin-ts\tsconfig.json", "JSON with Comments", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"Total", "-", 30, 11911, 2845, 1257, 1, 26, 24497, 20, 170, 1844, 42601
